,0,1,2,3,4,5
0,Instance,Solution,Temps,Itérations,Temps par itération,Couleurs par itération
1,b'anna.col',11,605.290323972702,2,"[0.09931159019470215, 600.9141442775726]","[11, 0]"
2,b'david.col',11,601.517085313797,2,"[0.05190157890319824, 600.1322214603424]","[11, 0]"
3,b'DSJC1000.1.col',6,607.2710132598877,3,"[2.9069762229919434, 2.2780959606170654, 600.0413296222687]","[7, 6, 0]"
4,b'DSJC1000.5.col',15,679.909078836441,5,"[5.039075613021851, 2.746777296066284, 2.5940635204315186, 66.43119478225708, 600.2034666538239]","[18, 17, 16, 15, 0]"
5,b'DSJC125.1.col',5,56.118303537368774,4,"[0.07535719871520996, 0.0219571590423584, 52.398377895355225, 1.1538045406341553]","[7, 6, 5, 0]"
6,b'DSJC125.5.col',6,0.1067957878112793,3,"[0.026950359344482422, 0.046912193298339844, 0.0024938583374023438]","[7, 6, 0]"
7,b'DSJC125.9.col',52,1054.1786506175995,8,"[0.5354828834533691, 4.067269325256348, 6.752830982208252, 4.060279130935669, 17.51669669151306, 52.93036603927612, 307.71698784828186, 604.1585767269135]","[58, 57, 56, 55, 54, 53, 52, 0]"
8,b'DSJC250.1.col',7,603.4364583492279,3,"[0.18265318870544434, 0.14522385597229004, 600.0752158164978]","[8, 7, 0]"
9,b'DSJC250.5.col',11,744.7434523105621,5,"[0.23156070709228516, 0.12441468238830566, 0.30492329597473145, 143.06948971748352, 600.0240335464478]","[14, 13, 12, 11, 0]"
10,b'DSJC500.1.col',7,612.2807092666626,3,"[0.7835099697113037, 6.954777956008911, 600.0927584171295]","[8, 7, 0]"
11,b'DSJC500.5.col',12,634.8122968673706,4,"[1.023057222366333, 14.838941097259521, 17.90649127960205, 600.0967979431152]","[14, 13, 12, 0]"
12,b'DSJR500.5.col',13,2.301180601119995,3,"[0.7816569805145264, 0.6302156448364258, 0.6537537574768066]","[15, 14, 13]"
13,b'fpsol2.i.1.col',65,836.1508502960205,2,"[24.325603246688843, 644.8715705871582]","[65, 0]"
14,b'fpsol2.i.2.col',33,1036.4374403953552,2,"[23.558716535568237, 600.2894706726074]","[33, 0]"
15,b'fpsol2.i.3.col',32,1004.8704071044922,2,"[67.53884625434875, 600.2480370998383]","[32, 0]"
16,b'games120.col',9,0.781029462814331,1,[0.03243708610534668],[9]
17,b'homer.col',13,776.241884469986,2,"[2.481463670730591, 600.8055860996246]","[13, 0]"
18,b'huck.col',11,1.7052574157714844,2,"[0.03243899345397949, 0.9042818546295166]","[11, 0]"
19,b'jean.col',10,2.408108949661255,2,"[0.021956920623779297, 1.91754150390625]","[11, 10]"
20,b'le450_15a.col',16,1080.817532300949,3,"[1.804567575454712, 407.6819293498993, 600.7969527244568]","[17, 16, 0]"
21,b'le450_15b.col',16,689.1647956371307,3,"[1.7347018718719482, 16.502699613571167, 600.746209859848]","[17, 16, 0]"
22,b'le450_25a.col',25,675.5525505542755,2,"[2.8376080989837646, 601.8248460292816]","[25, 0]"
23,b'le450_25b.col',25,662.5461065769196,2,"[2.3665010929107666, 601.092945098877]","[25, 0]"
24,b'le450_5a.col',9,1160.670341014862,3,"[0.8773312568664551, 494.41852259635925, 600.2902286052704]","[10, 9, 0]"
25,b'le450_5b.col',9,735.1748223304749,3,"[0.9017844200134277, 68.15940999984741, 600.2777986526489]","[10, 9, 0]"
26,b'le450_5c.col',10,1126.1856830120087,3,"[1.3850445747375488, 462.5731782913208, 600.2018837928772]","[11, 10, 0]"
27,b'le450_5d.col',11,1168.2187905311584,4,"[1.3778808116912842, 0.530989408493042, 491.29373717308044, 600.7042837142944]","[13, 12, 11, 0]"
28,b'miles1000.col',44,706.5388553142548,3,"[0.25052714347839355, 87.58010601997375, 603.4421956539154]","[45, 44, 0]"
29,b'miles1500.col',73,624.2704136371613,2,"[0.6977965831756592, 600.6703324317932]","[73, 0]"
30,b'miles250.col',8,602.0103013515472,2,"[0.034435272216796875, 600.2741041183472]","[8, 0]"
31,b'miles500.col',20,660.067412853241,4,"[0.07595682144165039, 1.7441833019256592, 53.29217743873596, 601.1720523834229]","[22, 21, 20, 0]"
32,b'miles750.col',31,759.3266055583954,4,"[0.16704225540161133, 3.8177413940429688, 145.59169125556946, 602.3583850860596]","[33, 32, 31, 0]"
33,b'mulsol.i.1.col',49,620.2675766944885,2,"[1.6335465908050537, 604.6138317584991]","[49, 0]"
34,b'mulsol.i.2.col',31,623.3485691547394,2,"[1.249624252319336, 601.5924324989319]","[31, 0]"
35,b'mulsol.i.3.col',31,623.76260638237,2,"[1.173691987991333, 601.6092972755432]","[31, 0]"
36,b'mulsol.i.4.col',31,624.3391947746277,2,"[0.7610516548156738, 601.608412027359]","[31, 0]"
37,b'mulsol.i.5.col',31,628.1586492061615,2,"[0.7226269245147705, 604.2856857776642]","[31, 0]"
38,b'myciel2.col',3,0.0029935836791992188,2,"[0.0, 0.0]","[3, 0]"
39,b'myciel3.col',4,0.007482767105102539,2,"[0.0, 0.000997781753540039]","[4, 0]"
40,b'myciel4.col',5,0.17716217041015625,2,"[0.0014972686767578125, 0.15420317649841309]","[5, 0]"
41,b'myciel5.col',6,600.1459321975708,2,"[0.007485628128051758, 600.0081915855408]","[6, 0]"
42,b'myciel6.col',7,600.9841694831848,2,"[0.04092216491699219, 600.0564332008362]","[7, 0]"
43,b'myciel7.col',8,609.8124284744263,2,"[0.3004283905029297, 600.1662700176239]","[8, 0]"
44,b'queen10_10.col',12,605.0185413360596,5,"[0.047910451889038086, 0.02744746208190918, 0.07236194610595703, 1.8759315013885498, 600.1065399646759]","[15, 14, 13, 12, 0]"
45,b'queen11_11.col',13,680.5387477874756,5,"[0.07285833358764648, 0.03792548179626465, 2.2567102909088135, 73.1683874130249, 600.1930224895477]","[16, 15, 14, 13, 0]"
46,b'queen12_12.col',15,611.9723191261292,5,"[0.20111680030822754, 0.0933220386505127, 2.0151686668395996, 2.0271449089050293, 600.3731069564819]","[18, 17, 16, 15, 0]"
47,b'queen13_13.col',16,627.9793930053711,7,"[0.28595471382141113, 1.6972763538360596, 1.8519794940948486, 2.22127628326416, 2.4129130840301514, 3.965459108352661, 600.5963182449341]","[21, 20, 19, 18, 17, 16, 0]"
48,b'queen14_14.col',17,655.0376167297363,6,"[0.37143826484680176, 0.14223265647888184, 2.6766934394836426, 2.8492400646209717, 29.302789449691772, 600.7541563510895]","[21, 20, 19, 18, 17, 0]"
49,b'queen15_15.col',18,767.9554851055145,4,"[0.5026743412017822, 3.0898449420928955, 142.6363115310669, 600.9800617694855]","[20, 19, 18, 0]"
50,b'queen16_16.col',19,777.4733040332794,6,"[0.6924707889556885, 3.3904170989990234, 0.2696225643157959, 9.540812969207764, 121.68414568901062, 600.6206464767456]","[23, 22, 21, 20, 19, 0]"
51,b'queen5_5.col',5,0.053896427154541016,2,"[0.002992391586303711, 0.0014967918395996094]","[6, 5]"
52,b'queen6_6.col',7,0.5063822269439697,4,"[0.004990339279174805, 0.002994060516357422, 0.257509708404541, 0.049906015396118164]","[9, 8, 7, 0]"
53,b'queen7_7.col',7,2.00344181060791,5,"[0.01447296142578125, 0.008481740951538086, 0.7770209312438965, 0.6676774024963379, 0.0004982948303222656]","[10, 9, 8, 7, 0]"
54,b'queen8_12.col',12,5.243176698684692,2,"[0.04042220115661621, 3.8862571716308594]","[13, 12]"
55,b'queen8_8.col',9,670.9089810848236,7,"[0.017465829849243164, 0.0219573974609375, 0.8184413909912109, 0.8658533096313477, 1.0413308143615723, 66.90034317970276, 600.0017721652985]","[14, 13, 12, 11, 10, 9, 0]"
56,b'queen9_9.col',11,605.0891456604004,5,"[0.028448104858398438, 0.06986808776855469, 0.2001204490661621, 2.8625574111938477, 600.0503838062286]","[14, 13, 12, 11, 0]"
57,b'zeroin.i.1.col',49,611.9162957668304,2,"[1.1697750091552734, 602.1024544239044]","[49, 0]"
58,b'zeroin.i.2.col',30,617.9329354763031,2,"[2.1998190879821777, 602.0686616897583]","[30, 0]"
59,b'zeroin.i.3.col',30,618.977472782135,2,"[2.259204387664795, 602.1439776420593]","[30, 0]"
